Package                           Version      Latest      Type
--------------------------------- ------------ ----------- -----
aiobotocore                       2.7.0        2.16.0      wheel
aiohttp                           3.9.3        3.11.11     wheel
aioitertools                      0.7.1        0.12.0      wheel
aiosignal                         1.2.0        1.3.2       wheel
alabaster                         0.7.12       1.0.0       wheel
altair                            5.0.1        5.5.0       wheel
anaconda-cloud-auth               0.1.4        0.7.2       wheel
anyio                             4.2.0        4.7.0       wheel
archspec                          0.2.3        0.2.5       wheel
argon2-cffi                       21.3.0       23.1.0      wheel
arrow                             1.2.3        1.3.0       wheel
astroid                           2.14.2       3.3.6       wheel
astropy                           5.3.4        7.0.0       wheel
asttokens                         2.0.5        3.0.0       wheel
atomicwrites                      1.4.0        1.4.1       sdist
attrs                             23.1.0       24.3.0      wheel
Automat                           20.2.0       24.8.1      wheel
autopep8                          1.6.0        2.3.1       wheel
Babel                             2.11.0       2.16.0      wheel
backports.functools-lru-cache     1.6.4        2.0.0       wheel
bcrypt                            3.2.0        4.2.1       wheel
beautifulsoup4                    4.12.2       4.12.3      wheel
black                             23.11.0      24.10.0     wheel
bleach                            4.1.0        6.2.0       wheel
blinker                           1.6.2        1.9.0       wheel
bokeh                             3.3.4        3.6.2       wheel
boltons                           23.0.0       24.1.0      wheel
botocore                          1.31.64      1.35.87     wheel
Bottleneck                        1.3.7        1.4.2       wheel
Brotli                            1.0.9        1.1.0       wheel
cachetools                        4.2.2        5.5.0       wheel
cffi                              1.16.0       1.17.1      wheel
chardet                           4.0.0        5.2.0       wheel
charset-normalizer                2.0.4        3.4.0       wheel
click                             8.1.7        8.1.8       wheel
cloudpickle                       2.2.1        3.1.0       wheel
colorcet                          3.0.1        3.1.0       wheel
comm                              0.1.2        0.2.2       wheel
conda-pack                        0.6.0        0.8.1       wheel
conda-package-handling            2.2.0        2.4.0       wheel
conda_package_streaming           0.9.0        0.11.0      wheel
contourpy                         1.2.0        1.3.1       wheel
cookiecutter                      2.5.0        2.6.0       wheel
cryptography                      42.0.2       44.0.0      wheel
cycler                            0.11.0       0.12.1      wheel
cytoolz                           0.12.2       1.0.1       wheel
dask                              2023.11.0    2024.12.1   wheel
datashader                        0.16.0       0.16.3      wheel
debugpy                           1.6.7        1.8.11      wheel
diff-match-patch                  20200713     20241021    wheel
dill                              0.3.7        0.3.9       wheel
distributed                       2023.11.0    2024.12.1   wheel
distro                            1.8.0        1.9.0       wheel
docstring-to-markdown             0.11         0.15        wheel
docutils                          0.18.1       0.21.2      wheel
et-xmlfile                        1.1.0        2.0.0       wheel
executing                         0.8.3        2.1.0       wheel
fastjsonschema                    2.16.2       2.21.1      wheel
filelock                          3.13.1       3.16.1      wheel
flake8                            6.0.0        7.1.1       wheel
Flask                             2.2.5        3.1.0       wheel
fonttools                         4.25.0       4.55.3      wheel
frozendict                        2.4.2        2.4.6       wheel
frozenlist                        1.4.0        1.5.0       wheel
fsspec                            2023.10.0    2024.12.0   wheel
future                            0.18.3       1.0.0       wheel
gensim                            4.3.0        4.3.3       wheel
gitdb                             4.0.7        4.0.11      wheel
GitPython                         3.1.37       3.1.43      wheel
gmpy2                             2.1.2        2.2.1       wheel
greenlet                          3.0.3        3.1.1       wheel
h5py                              3.9.0        3.12.1      wheel
holoviews                         1.18.3       1.20.0      wheel
hvplot                            0.9.2        0.11.2      wheel
idna                              3.4          3.10        wheel
imagecodecs                       2023.1.23    2024.9.22   wheel
imageio                           2.33.1       2.36.1      wheel
imbalanced-learn                  0.11.0       0.13.0      wheel
importlib-metadata                7.0.1        8.5.0       wheel
incremental                       22.10.0      24.7.2      wheel
iniconfig                         1.1.1        2.0.0       wheel
intake                            0.6.8        2.0.7       wheel
ipykernel                         6.28.0       6.29.5      wheel
ipython                           8.20.0       8.31.0      wheel
ipywidgets                        7.6.5        8.1.5       wheel
isort                             5.9.3        5.13.2      wheel
itemadapter                       0.3.0        0.10.0      wheel
itemloaders                       1.1.0        1.3.2       wheel
itsdangerous                      2.0.1        2.2.0       wheel
jaraco.classes                    3.2.1        3.4.0       wheel
jedi                              0.18.1       0.19.2      wheel
jellyfish                         1.0.1        1.1.3       wheel
Jinja2                            3.1.3        3.1.5       wheel
